subject,predicate,object,comment_count,sum_W_i,sum_like_count,strength,mean_burst_risk
AI时代,迎来,新拐点,1,0.683880724834272,502.0,343.3081238668045,0.316119275165728
Meta,裁,两成员工,1,0.683880724834272,502.0,343.3081238668045,0.316119275165728
行业转型,守住,从业者的温度,1,0.683880724834272,500.0,341.940362417136,0.316119275165728
AI,总结,观点,1,0.6561778290445325,227.0,148.95236719310887,0.3438221709554675
他,会附和,你,1,0.6561778290445325,227.0,148.95236719310887,0.3438221709554675
你,反驳,它的论点,1,0.6561778290445325,227.0,148.95236719310887,0.3438221709554675
全员openclaw,会玩,梗,1,0.6767424102326032,217.0,146.8531030204749,0.3232575897673968
程序员的快乐,是,简单,1,0.6767424102326032,217.0,146.8531030204749,0.3232575897673968
AI,会造成,结构调整,1,0.6308317783800358,166.0,104.71807521108595,0.3691682216199642
沟通类工种,是,难替代的,1,0.6308317783800358,166.0,104.71807521108595,0.3691682216199642
评论者,思考,后期怎么办,1,0.6308317783800358,166.0,104.71807521108595,0.3691682216199642
春风里派对,能玩,方式,1,0.6767424102326032,147.0,99.48113430419266,0.3232575897673968
程序员的脑洞,大,程度,1,0.6767424102326032,147.0,99.48113430419266,0.3232575897673968
评论者,跟风,养龙虾,3,1.8302378586650647,125.0,76.25991077771104,0.3899207137783118
评论者,感觉,会有一大片巨大的瓜田,1,0.6420833415744945,99.0,63.56625081587496,0.35791665842550546
人类,在用,搜索引擎,1,0.6561778290445324,96.0,62.99307158827511,0.34382217095546763
同事,没得到,有效的解决方案,1,0.6561778290445324,96.0,62.99307158827511,0.34382217095546763
同事,问了,ai,1,0.6561778290445324,96.0,62.99307158827511,0.34382217095546763
专业的人,排除,风险和雷,2,1.2201585724433766,103.0,62.8381664808339,0.3899207137783117
工具,让脱离,简单劳动,1,0.6617168455104903,78.0,51.61391394981824,0.33828315448950974
评论者,创新,优化自己的工具,1,0.6617168455104903,78.0,51.61391394981824,0.33828315448950974
科技圈,懂,整活,1,0.6767424102326032,63.0,42.634771844654,0.3232575897673968
评论者,玩明白了,谐音梗,1,0.6767424102326032,63.0,42.634771844654,0.3232575897673968
他,会种地,地,1,0.6308317783800358,64.0,40.37323381632229,0.3691682216199642
农学生,会被淘汰,AI,1,0.6308317783800358,64.0,40.37323381632229,0.3691682216199642
你公司,参考,这个,1,0.6308875915371621,51.0,32.175267168395266,0.3691124084628379
AI,让失业,不少人,1,0.6308875915371621,47.0,29.651716802246618,0.3691124084628379
用户,付费做,肉鸡,1,0.6468471565572335,45.0,29.108122045075504,0.35315284344276654
AI,让,好多人没工作,1,0.6355765003324773,45.0,28.600942514961478,0.36442349966752274
办公室氛围,有,梗,1,0.6767424102326032,41.0,27.74643881953673,0.3232575897673968
破局行动家,顶,十年,1,0.6767424102326032,41.0,27.74643881953673,0.3232575897673968
只看报表不看主权,是,分析国家命运最大的盲区,1,0.6312370646669092,42.0,26.511956716010186,0.3687629353330908
只谈经济不谈政治,是,经济学最大的虚伪,1,0.6312370646669092,42.0,26.511956716010186,0.3687629353330908
AI,替代,律师,1,0.6274716347567447,39.0,24.471393755513045,0.3725283652432553
法官,坐在,那,1,0.6274716347567447,39.0,24.471393755513045,0.3725283652432553
人,失业,工作,3,1.9214035945792443,37.0,24.40625122568204,0.3595321351402519
AI,干了,人的活,1,0.65962841150492,37.0,24.40625122568204,0.34037158849508
人,消费,公司的产品,1,0.65962841150492,37.0,24.40625122568204,0.34037158849508
AI或脚本工具,替代,技术岗,1,0.6355765003324773,38.0,24.151907012634137,0.36442349966752274
技术岗,写,这些工具,1,0.6355765003324773,38.0,24.151907012634137,0.36442349966752274
AI,替代,岗位,3,1.947768265604577,38.0,23.81163068606634,0.350743911465141
我,刷,视频,1,0.6322103239794447,37.0,23.39178198723945,0.36778967602055535
我,用,别人的故事,1,0.6322103239794447,37.0,23.39178198723945,0.36778967602055535
AI,取代,人类,4,2.944472361333186,37.0,23.119604178998895,0.26388190966670355
AI,处理,标准化重复性任务,1,0.6248541669999701,37.0,23.119604178998895,0.3751458330000299
人类,擅长,人际互动,1,0.6248541669999701,37.0,23.119604178998895,0.3751458330000299
人类,擅长,创意发想,1,0.6248541669999701,37.0,23.119604178998895,0.3751458330000299
人类,擅长,策略决策,1,0.6248541669999701,37.0,23.119604178998895,0.3751458330000299
人类,擅长,跨领域整合,1,0.6248541669999701,37.0,23.119604178998895,0.3751458330000299
AI,裁掉,程序员,1,0.6355765003324773,36.0,22.88075401196918,0.36442349966752274
该工具,烧,4000万tokens,1,0.6071847125498762,36.0,21.85864965179554,0.39281528745012384
OpenClaw,会玩,养虾,1,0.6184067182363256,35.0,21.644235138271398,0.38159328176367435
评论者,养,小龙虾,1,0.6184067182363256,35.0,21.644235138271398,0.38159328176367435
ai,给,假的论据,1,0.6561778290445325,31.0,20.341512700380505,0.3438221709554675
评论者,把ai当,外置大脑,1,0.6561778290445325,31.0,20.341512700380505,0.3438221709554675
